run_id,date,portfolio_return,realized_return,cumulative_return,equity,cash_flow_krw,contributed_capital_krw,account_value_krw,net_profit_krw,candidate_count,execution_count,cash_weight,cash_value_krw
fbb983892c32,2021-01-29,0.0,0.0,0.0,1.0,0.0,12000000.0,12000000.0,0.0,7,0,1.0,12000000.0
fbb983892c32,2021-02-01,0.0,0.0,0.0,1.0,1000000.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-02,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-03,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-04,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-05,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-08,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-09,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-10,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-11,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-12,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-15,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-16,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-17,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-18,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-19,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-22,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-23,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-24,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-25,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-02-26,0.0,0.0,0.0,1.0,0.0,13000000.0,13000000.0,0.0,7,0,1.0,13000000.0
fbb983892c32,2021-03-01,0.0,0.0,0.0,1.0,1000000.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-02,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-03,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-04,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-05,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-08,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-09,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-10,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-11,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-12,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-15,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-16,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-17,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-18,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-19,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-22,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-23,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-24,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-25,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-26,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-29,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-30,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-03-31,0.0,0.0,0.0,1.0,0.0,14000000.0,14000000.0,0.0,7,0,1.0,14000000.0
fbb983892c32,2021-04-01,0.0,0.0,0.0,1.0,1000000.0,15000000.0,15000000.0,0.0,7,0,1.0,15000000.0
fbb983892c32,2021-04-02,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,7,0,1.0,15000000.0
fbb983892c32,2021-04-05,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,7,0,1.0,15000000.0
fbb983892c32,2021-04-06,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-07,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-08,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-09,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-12,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-13,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-14,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-15,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,6,0,1.0,15000000.0
fbb983892c32,2021-04-16,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-19,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-20,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-21,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-22,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-23,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-26,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-27,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-28,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-29,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-04-30,0.0,0.0,0.0,1.0,0.0,15000000.0,15000000.0,0.0,10,0,1.0,15000000.0
fbb983892c32,2021-05-03,0.0,0.0,0.0,1.0,1000000.0,16000000.0,16000000.0,0.0,10,0,1.0,16000000.0
fbb983892c32,2021-05-04,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,10,0,1.0,16000000.0
fbb983892c32,2021-05-05,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,10,0,1.0,16000000.0
fbb983892c32,2021-05-06,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,10,0,1.0,16000000.0
fbb983892c32,2021-05-07,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-10,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-11,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-12,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-13,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-14,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-17,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-18,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-19,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-20,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-21,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-24,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-25,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-26,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-27,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-28,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-05-31,0.0,0.0,0.0,1.0,0.0,16000000.0,16000000.0,0.0,14,0,1.0,16000000.0
fbb983892c32,2021-06-01,0.0,0.0,0.0,1.0,1000000.0,17000000.0,17000000.0,0.0,18,0,1.0,17000000.0
fbb983892c32,2021-06-02,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,18,0,1.0,17000000.0
fbb983892c32,2021-06-03,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,18,0,1.0,17000000.0
fbb983892c32,2021-06-04,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,18,0,1.0,17000000.0
fbb983892c32,2021-06-07,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-08,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-09,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-10,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-11,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-14,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-15,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-16,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-17,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,23,0,1.0,17000000.0
fbb983892c32,2021-06-18,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-21,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-22,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-23,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-24,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-25,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-28,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-29,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-06-30,0.0,0.0,0.0,1.0,0.0,17000000.0,17000000.0,0.0,22,0,1.0,17000000.0
fbb983892c32,2021-07-01,0.0,0.0,0.0,1.0,1000000.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-02,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-05,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-06,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-07,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-08,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-09,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-12,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-13,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-14,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-15,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-16,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-19,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-20,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-21,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-22,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-23,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-26,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-27,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-28,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-29,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-07-30,0.0,0.0,0.0,1.0,0.0,18000000.0,18000000.0,0.0,22,0,1.0,18000000.0
fbb983892c32,2021-08-02,0.0,0.0,0.0,1.0,1000000.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-03,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-04,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-05,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-06,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-09,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-10,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-11,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-12,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-13,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-16,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-17,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-18,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-19,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-20,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-23,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-24,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
fbb983892c32,2021-08-25,0.0,0.0,0.0,1.0,0.0,19000000.0,19000000.0,0.0,22,0,1.0,19000000.0
